Locus_tag;Old_locus_tag;Gene_name;Gene_product;Old_gene_product;Protein_ID;Old_protein_ID
EDL933_RS21925;NA;AaeX;protein AaeX;NA;WP_001310167.1;NA
EDL933_RS19710;Z4154;aas;bifunctional 2-acylglycerophosphoethanolamine acyltransferase/acyl-ACP synthetase;2-acylglycerophosphoethanolamine acyltransferase;WP_000899007.1;AIG70171.1
EDL933_RS05650;Z1229;aat;leucyl/phenylalanyl-tRNA--protein transferase;Leucyl/phenylalanyl-tRNA--protein transferase;WP_001241680.1;AIG67343.1
EDL933_RS01030;Z0211;abc;methionine import ATP-binding protein MetN;Methionine ABC transporter ATP-binding protein;WP_000593994.1;AIG66413.1
EDL933_RS03825;Z0867;abrB;AbrB family transcriptional regulator;Putative transport protein;WP_001302877.1;AIG66983.1
EDL933_RS00955;Z0197;accA;acetyl-CoA carboxylase carboxyltransferase subunit alpha;Acetyl-coenzyme A carboxyl transferase alpha chain;WP_000055741.1;AIG66398.1
EDL933_RS22000;Z4615;accB;acetyl-CoA carboxylase biotin carboxyl carrier protein subunit;Biotin carboxyl carrier protein of acetyl-CoA carboxylase;WP_000354622.1;AIG70625.1
EDL933_RS22005;Z4616;accC;acetyl-CoA carboxylase biotin carboxylase subunit;Biotin carboxylase of acetyl-CoA carboxylase;WP_000884642.1;AIG70626.1
EDL933_RS17060;Z3578;accD;acetyl-CoA carboxylase carboxyltransferase subunit beta;Acetyl-coenzyme A carboxyl transferase beta chain;WP_000118404.1;AIG69646.1
EDL933_RS26465;Z5601;aceA;isocitrate lyase;Isocitrate lyase;WP_000857854.1;AIG71481.1
EDL933_RS26460;Z5600;aceB;malate synthase A;Malate synthase;WP_000138864.1;AIG71480.1
EDL933_RS00605;Z0124;aceE;pyruvate dehydrogenase E1 component;Pyruvate dehydrogenase E1 component;WP_000003820.1;AIG66324.1
EDL933_RS00610;Z0125;aceF;pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase;Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex;WP_000963555.1;AIG66325.1
EDL933_RS26470;Z5602;aceK;bifunctional isocitrate dehydrogenase kinase/phosphatase;Isocitrate dehydrogenase phosphatase /kinase;WP_001137245.1;AIG71482.1
EDL933_RS09635;Z2053;AcfC;accessory colonization factor AcfC;Putative intestinal colonization factor encoded by prophage CP-933O;WP_001449026.1;AIG68165.1
EDL933_RS16960;Z3558;ackA;acetate kinase;Acetate kinase;WP_000095707.1;AIG69625.1
EDL933_RS11815;Z2532;acnA;aconitate hydratase 1;Aconitate hydratase;WP_000099451.1;AIG68597.1
EDL933_RS00625;Z0128;acnB;aconitate hydratase B;Aconitate hydratase 2;WP_001303793.1;AIG66328.1
EDL933_RS10950;Z2315;acpD;FMN-dependent NADH-azoreductase;FMN-dependent NADH-azoreductase;WP_000048968.1;AIG68426.1
EDL933_RS08105;Z1733;acpP;acyl carrier protein;Acyl carrier protein;WP_000103754.1;AIG67859.1
EDL933_RS18285;Z3844;acpS;holo-ACP synthase;Holo-[acyl-carrier protein] synthase;WP_000986037.1;AIG69888.1
EDL933_RS02655;Z0578;acrA;MexE family multidrug efflux RND transporter periplasmic adaptor subunit;Membrane fusion protein of RND family multidrug efflux pump;WP_001295324.1;AIG66742.1
EDL933_RS02650;Z0576;acrB;multidrug efflux RND transporter permease subunit;RND efflux system, inner membrane transporter CmeB;WP_001132452.1;AIG66741.1
EDL933_RS17770;Z3727;acrD;multidrug efflux RND transporter permease subunit;RND efflux system, inner membrane transporter CmeB;WP_001263111.1;AIG69784.1
EDL933_RS22050;Z4625;acrE;MexX family efflux pump subunit;RND efflux system, membrane fusion protein CmeA;WP_000160336.1;AIG70635.1
EDL933_RS02660;Z0579;acrR;DNA-binding transcriptional repressor AcrR;Transcription repressor of multidrug efflux pump acrAB operon, TetR (AcrR) family;WP_000101745.1;AIG66743.1
EDL933_RS04125;Z0932;AcrZ;multidrug efflux pump accessory protein AcrZ;Putative exported protein;WP_000891515.1;AIG67037.1
EDL933_RS26795;Z5668;acs;acetyl-coenzyme A synthetase;Acetyl-coenzyme A synthetase;WP_000078217.1;AIG71548.1
EDL933_RS16565;Z3471;ada;bifunctional transcriptional regulator/O6-methylguanine-DNA methyltransferase;ADA regulatory protein;WP_000786353.1;AIG69545.1
EDL933_RS12580;Z2628;add;adenosine deaminase;Adenosine deaminase;WP_000567512.1;AIG68749.1
EDL933_RS02100;Z0456;adhC;S-(hydroxymethyl)glutathione dehydrogenase;S-(hydroxymethyl)glutathione dehydrogenase;WP_000842102.1;AIG66622.1
EDL933_RS09470;Z2016;adhE;bifunctional acetaldehyde-CoA/alcohol dehydrogenase;Alcohol dehydrogenase;WP_000301651.1;AIG68131.1
EDL933_RS27050;Z5719;adiA;arginine decarboxylase;Arginine decarboxylase, catabolic;WP_000978640.1;AIG71602.1
